"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Israel","436","Financial Markets Efficiency Index","FD_FME_IX","Value","0.602563500404358","0.387435793876648","0.337453305721283","0.291167110204697","0.285287618637085","0.288648098707199","0.368831276893616","0.411136537790299","0.356048613786697","0.492890268564224","0.492890268564224",
"Jordan","439","Financial Institutions Index","FD_FI_IX","Value","0.459939360618591","0.458257526159286","0.459772974252701","0.443794041872024","0.434010922908783","0.448264986276627","0.45011767745018","0.474110066890717","0.462529838085175","0.458361715078354","0.464149296283722",
"Jordan","439","Financial Markets Depth Index","FD_FMD_IX","Value","0.381525695323944","0.331062227487564","0.285751789808273","0.266775161027908","0.254914671182632","0.23406919836998","0.223979130387306","0.208247140049934","0.182219803333282","0.164086014032364","0.157174631953239",
"Jordan","439","Financial Markets Access Index","FD_FMA_IX","Value","0.48678931593895","0.50136524438858","0.455299109220505","0.432754993438721","0.448022395372391","0.448591023683548","0.466267168521881","0.454679518938065","0.461016565561295","0.439746767282486","0.468480825424194",
"Jordan","439","Financial Markets Efficiency Index","FD_FME_IX","Value","0.176978677511215","0.124948784708977","0.164206489920616","0.149364948272705","0.172406271100044","0.131676331162453","0.120226606726646","0.128300085663795","0.098866730928421","0.099871389567852","0.099871389567852",
"Kuwait","443","Financial Development Index","FD_FD_IX","Value","0.43807715177536","0.429837167263031","0.432676494121552","0.455722451210022","0.472139775753021","0.503677845001221","0.511416733264923","0.502961099147797","0.361433953046799","0.406095176935196","0.399504512548447",
"Kuwait","443","Financial Markets Access Index","FD_FMA_IX","Value","0.0588045604526997","0.0542434602975845","0.0251580867916346","0.0976147651672363","0.0704846456646919","0.159003660082817","0.223484635353088","0.192033693194389","0.14533394575119","0.106571204960346","0.176396742463112",
"Lebanon","446","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.7143315076828","0.701181411743164","0.697622656822205","0.699900448322296","0.709763467311859","0.669680416584015","0.687647223472595","0.716328680515289","0.701266229152679","0.695812940597534","0.690834045410156",
"Oman","449","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.680136322975159","0.693931818008423","0.70407909154892","0.697361528873444","0.694857358932495","0.697019636631012","0.701231956481934","0.705097436904907","0.704447150230408","0.686408698558807","0.687075793743134",
"Oman","449","Financial Markets Depth Index","FD_FMD_IX","Value","0.273345619440079","0.246354267001152","0.287151992321014","0.308666050434112","0.381660044193268","0.366836577653885","0.358299344778061","0.319195687770844","0.315695136785507","0.349802672863007","0.295297563076019",
"Oman","449","Financial Markets Access Index","FD_FMA_IX","Value","0.319152623414993","0.297265708446503","0.289935827255249","0.259331583976746","0.281028717756271","0.448189795017242","0.608932495117188","0.669112026691437","0.508397161960602","0.513721883296967","0.648386836051941",
"Oman","449","Financial Markets Efficiency Index","FD_FME_IX","Value","0.117123678326607","0.108504429459572","0.192563161253929","0.189409628510475","0.106848679482937","0.133772596716881","0.138269856572151","0.125956803560257","0.123915769159794","0.0779604837298393","0.0779604837298393",
"Qatar","453","Financial Institutions Access Index","FD_FIA_IX","Value","0.359258711338043","0.389055132865906","0.386334866285324","0.40325054526329","0.378562867641449","0.390293091535568","0.357409834861755","0.328553855419159","0.351901471614838","0.354321807622909","0.33009922504425",
"Qatar","453","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.648267269134521","0.693937957286835","0.684203922748566","0.747674107551575","0.738111317157745","0.755511164665222","0.683686494827271","0.731343626976013","0.73764967918396","0.730910837650299","0.736913859844208",
"Qatar","453","Financial Markets Access Index","FD_FMA_IX","Value","0.524167895317078","0.832834541797638","0.66262274980545","0.620563209056854","0.633180439472198","0.861029207706451","0.815131008625031","0.750097632408142","0.748235642910004","0.876669526100159","0.82732081413269",
"United Arab Emirates","466","Financial Markets Index","FD_FM_IX","Value","0.413011372089386","0.434571325778961","0.472737193107605","0.738170981407166","0.55221164226532","0.529451608657837","0.585163354873657","0.560552597045898","0.571198463439941","0.582835793495178","0.585231482982635",
"United Arab Emirates","466","Financial Institutions Depth Index","FD_FID_IX","Value","0.172978833317757","0.167574688792229","0.164949133992195","0.177823677659035","0.214353293180466","0.222384080290794","0.216578647494316","0.206558227539063","0.212414816021919","0.250081181526184","0.224701806902885",
"United Arab Emirates","466","Financial Institutions Access Index","FD_FIA_IX","Value","0.373868227005005","0.390461623668671","0.403891205787659","0.418392091989517","0.433240711688995","0.432782799005508","0.41963255405426","0.409463316202164","0.379596143960953","0.324316084384918","0.316399186849594",
"Egypt, Arab Rep. of","469","Financial Markets Index","FD_FM_IX","Value","0.274755090475082","0.262126296758652","0.230863213539124","0.297621965408325","0.238754078745842","0.294447690248489","0.273436784744263","0.278292387723923","0.283333003520966","0.286493927240372","0.286970764398575",
"Egypt, Arab Rep. of","469","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.686185359954834","0.686461269855499","0.704270958900452","0.721013426780701","0.748848974704742","0.739547371864319","0.714713335037231","0.721507966518402","0.727807521820068","0.732263565063477","0.726098120212555",
"Brunei Darussalam","516","Financial Institutions Depth Index","FD_FID_IX","Value","0.0756623819470406","0.0747049301862717","0.0830943360924721","0.0881329998373985","0.11029414832592","0.152469888329506","0.137279912829399","0.124764397740364","0.123846374452114","0.139960840344429","0.130056232213974",
"Brunei Darussalam","516","Financial Markets Depth Index","FD_FMD_IX","Value","0.0239272229373455","0.0302906688302755","0.0374855697154999","0.0337464548647404","0.0446230992674828","0.0506119728088379","0.0475743785500526","0.0425292029976845","0.0428376048803329","0.0480592921376228","0.0411944538354874",
"Myanmar","518","Financial Institutions Depth Index","FD_FID_IX","Value","0.0164889618754387","0.0214265175163746","0.0290146991610527","0.0353149138391018","0.0404590405523777","0.0499798581004143","0.0569545775651932","0.0618512481451034","0.0716601386666298","0.0751449540257454","0.0751449540257454",
"Ireland","178","Financial Markets Efficiency Index","FD_FME_IX","Value","0.0930542349815369","0.106167480349541","0.108118861913681","0.142599895596504","0.201819345355034","0.259964197874069","0.243250235915184","0.359519839286804","0.359519839286804","0.359519839286804","0.359519839286804",
"Malta","181","Financial Development Index","FD_FD_IX","Value","0.509808838367462","0.534052729606628","0.540928840637207","0.530277669429779","0.541223764419556","0.515228807926178","0.557125091552734","0.529692649841309","0.522700428962708","0.534082531929016","0.517582178115845",
"Sri Lanka","524","Financial Institutions Depth Index","FD_FID_IX","Value","0.113924220204353","0.107631400227547","0.107860557734966","0.113798446953297","0.123490758240223","0.130018308758736","0.133547618985176","0.140275582671165","0.141762211918831","0.147685959935188","0.146675199270248",
